language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Haskell","BST","Correct","InsertInsert",["insert_1"],true,1.00,0.00,0.00,0.0010
"Haskell","BST","Correct","InsertInsert",["insert_2"],true,1.00,0.00,0.00,0.0007
"Haskell","BST","Correct","InsertInsert",["insert_3"],true,1.00,0.00,0.00,0.0017
"Haskell","BST","Correct","InsertPost",["insert_1"],true,1.00,0.00,0.00,0.0013
"Haskell","BST","Correct","InsertPost",["insert_2"],true,1.00,0.00,0.00,0.0012
"Haskell","BST","Correct","InsertPost",["insert_3"],true,1.00,0.00,0.00,0.0407
"Haskell","BST","Correct","InsertModel",["insert_1"],true,1.00,0.00,0.00,0.0014
"Haskell","BST","Correct","InsertModel",["insert_2"],true,1.00,0.00,0.00,0.0008
"Haskell","BST","Correct","InsertModel",["insert_3"],true,1.00,0.00,0.00,0.0030
"Haskell","BST","Correct","DeleteInsert",["insert_1"],true,1.00,0.00,0.00,0.0022
"Haskell","BST","Correct","DeleteInsert",["insert_2"],true,1.00,0.00,0.00,0.0013
"Haskell","BST","Correct","DeleteInsert",["delete_4"],true,1.00,0.00,0.00,0.0008
"Haskell","BST","Correct","DeleteInsert",["delete_5"],true,1.00,0.00,0.00,0.0007
"Haskell","BST","Correct","InsertUnion",["insert_1"],true,1.00,0.00,0.00,0.0013
"Haskell","BST","Correct","InsertUnion",["insert_2"],true,1.00,0.00,0.00,0.0011
"Haskell","BST","Correct","InsertUnion",["insert_3"],true,1.00,0.00,0.00,0.0011
"Haskell","BST","Correct","InsertUnion",["union_6"],true,1.00,0.00,0.00,0.0010
"Haskell","BST","Correct","InsertUnion",["union_7"],true,1.00,0.00,0.00,0.0011
"Haskell","BST","Correct","InsertUnion",["union_8"],true,1.00,0.00,0.00,0.0013
"Haskell","BST","Correct","UnionDeleteInsert",["insert_1"],true,1.00,0.00,0.00,0.0015
"Haskell","BST","Correct","UnionDeleteInsert",["insert_2"],true,1.00,0.00,0.00,0.0010
"Haskell","BST","Correct","UnionDeleteInsert",["insert_3"],true,1.00,0.00,0.00,0.0009
"Haskell","BST","Correct","UnionDeleteInsert",["delete_4"],true,1.00,0.00,0.00,0.0014
"Haskell","BST","Correct","UnionDeleteInsert",["delete_5"],true,1.00,0.00,0.00,0.0004
"Haskell","BST","Correct","UnionDeleteInsert",["union_6"],true,1.00,0.00,0.00,0.0010
"Haskell","BST","Correct","UnionDeleteInsert",["union_7"],true,1.00,0.00,0.00,0.0015
"Haskell","BST","Correct","UnionDeleteInsert",["union_8"],true,1.00,0.00,0.00,0.0010
"Haskell","BST","Correct","InsertDelete",["insert_2"],true,1.00,0.00,0.00,0.0017
"Haskell","BST","Correct","InsertDelete",["insert_3"],true,1.00,0.00,0.00,0.0054
"Haskell","BST","Correct","InsertDelete",["delete_4"],true,1.00,0.00,0.00,0.0008
"Haskell","BST","Correct","DeleteModel",["delete_4"],true,1.00,0.00,0.00,0.0011
"Haskell","BST","Correct","DeleteModel",["delete_5"],true,1.00,0.00,0.00,0.0011
"Haskell","BST","Correct","DeletePost",["delete_4"],true,1.00,0.00,0.00,0.0013
"Haskell","BST","Correct","DeletePost",["delete_5"],true,1.00,0.00,0.00,0.0057
"Haskell","BST","Correct","DeleteDelete",["delete_4"],true,1.00,0.00,0.00,0.0021
"Haskell","BST","Correct","DeleteDelete",["delete_5"],true,1.00,0.00,0.00,0.0089
"Haskell","BST","Correct","DeleteUnion",["delete_4"],true,1.00,0.00,0.00,0.0010
"Haskell","BST","Correct","DeleteUnion",["delete_5"],true,1.00,0.00,0.00,0.0007
"Haskell","BST","Correct","DeleteUnion",["union_6"],true,1.00,0.00,0.00,0.0009
"Haskell","BST","Correct","DeleteUnion",["union_7"],true,1.00,0.00,0.00,0.0009
"Haskell","BST","Correct","DeleteUnion",["union_8"],true,1.00,0.00,0.00,0.0014
"Haskell","BST","Correct","UnionValid",["union_6"],true,1.00,0.00,0.00,0.0006
"Haskell","BST","Correct","UnionValid",["union_7"],true,1.00,0.00,0.00,0.0011
"Haskell","BST","Correct","UnionPost",["union_6"],true,1.00,0.00,0.00,0.0004
"Haskell","BST","Correct","UnionPost",["union_7"],true,1.00,0.00,0.00,0.0009
"Haskell","BST","Correct","UnionPost",["union_8"],true,1.00,0.00,0.00,0.0029
"Haskell","BST","Correct","UnionModel",["union_6"],true,1.00,0.00,0.00,0.0014
"Haskell","BST","Correct","UnionModel",["union_7"],true,1.00,0.00,0.00,0.0012
"Haskell","BST","Correct","UnionModel",["union_8"],true,1.00,0.00,0.00,0.0010
"Haskell","BST","Correct","UnionUnionAssoc",["union_6"],true,1.00,0.00,0.00,0.0009
"Haskell","BST","Correct","UnionUnionAssoc",["union_7"],true,1.00,0.00,0.00,0.0017
"Haskell","BST","Correct","UnionUnionAssoc",["union_8"],true,1.00,0.00,0.00,0.0012
