language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","BST","qcheck:bespoke","InsertInsert",["insert_1"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","InsertInsert",["insert_2"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","InsertInsert",["insert_3"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","InsertPost",["insert_1"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","InsertPost",["insert_2"],true,1.00,0.00,0.00,0.0004
"OCaml","BST","qcheck:bespoke","InsertPost",["insert_3"],true,1.00,0.00,0.00,0.0011
"OCaml","BST","qcheck:bespoke","InsertModel",["insert_1"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","InsertModel",["insert_2"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","InsertModel",["insert_3"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","DeleteInsert",["insert_1"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","DeleteInsert",["insert_2"],true,1.00,0.00,0.00,0.0002
"OCaml","BST","qcheck:bespoke","DeleteInsert",["delete_4"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","DeleteInsert",["delete_5"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","InsertUnion",["insert_1"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","InsertUnion",["insert_2"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","InsertUnion",["insert_3"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","InsertUnion",["union_6"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","InsertUnion",["union_7"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","InsertUnion",["union_8"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["insert_1"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["insert_2"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["insert_3"],true,1.00,0.00,0.00,0.0002
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["delete_4"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["delete_5"],true,1.00,0.00,0.00,0.0002
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["union_6"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["union_7"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["union_8"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","InsertDelete",["insert_2"],true,1.00,0.00,0.00,0.0002
"OCaml","BST","qcheck:bespoke","InsertDelete",["insert_3"],true,1.00,0.00,0.00,0.0004
"OCaml","BST","qcheck:bespoke","InsertDelete",["delete_4"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","DeleteModel",["delete_4"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","DeleteModel",["delete_5"],true,1.00,0.00,0.00,0.0002
"OCaml","BST","qcheck:bespoke","DeletePost",["delete_4"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","DeletePost",["delete_5"],true,1.00,0.00,0.00,0.0043
"OCaml","BST","qcheck:bespoke","DeleteDelete",["delete_4"],true,1.00,0.00,0.00,0.0009
"OCaml","BST","qcheck:bespoke","DeleteDelete",["delete_5"],true,1.00,0.00,0.00,0.0022
"OCaml","BST","qcheck:bespoke","DeleteUnion",["delete_4"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","DeleteUnion",["delete_5"],true,1.00,0.00,0.00,0.0003
"OCaml","BST","qcheck:bespoke","DeleteUnion",["union_6"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","DeleteUnion",["union_7"],true,1.00,0.00,0.00,0.0002
"OCaml","BST","qcheck:bespoke","DeleteUnion",["union_8"],true,1.00,0.00,0.00,0.0043
"OCaml","BST","qcheck:bespoke","UnionValid",["union_6"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","UnionValid",["union_7"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","UnionPost",["union_6"],true,1.00,0.00,0.00,0.0002
"OCaml","BST","qcheck:bespoke","UnionPost",["union_7"],true,1.00,0.00,0.00,0.0008
"OCaml","BST","qcheck:bespoke","UnionPost",["union_8"],true,1.00,0.00,0.00,0.0050
"OCaml","BST","qcheck:bespoke","UnionModel",["union_6"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","UnionModel",["union_7"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","UnionModel",["union_8"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","UnionUnionAssoc",["union_6"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","UnionUnionAssoc",["union_7"],true,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","UnionUnionAssoc",["union_8"],true,1.00,0.00,0.00,0.0001
"OCaml","BST","qcheck:typebased","InsertInsert",["insert_1"],true,1.00,0.00,0.00,0.0247
"OCaml","BST","qcheck:typebased","InsertInsert",["insert_2"],true,1.00,0.00,0.00,0.0292
"OCaml","BST","qcheck:typebased","InsertInsert",["insert_3"],true,1.00,0.00,0.00,0.0126
"OCaml","BST","qcheck:typebased","InsertPost",["insert_1"],true,1.00,0.00,0.00,0.6131
"OCaml","BST","qcheck:typebased","InsertPost",["insert_2"],true,1.00,0.00,0.00,0.7575
"OCaml","BST","qcheck:typebased","InsertPost",["insert_3"],true,1.00,0.00,0.00,2.6924
"OCaml","BST","qcheck:typebased","InsertModel",["insert_1"],true,1.00,0.00,0.00,0.0340
"OCaml","BST","qcheck:typebased","InsertModel",["insert_2"],true,1.00,0.00,0.00,0.0686
"OCaml","BST","qcheck:typebased","InsertModel",["insert_3"],true,1.00,0.00,0.00,0.2980
"OCaml","BST","qcheck:typebased","DeleteInsert",["insert_1"],true,1.00,0.00,0.00,0.8777
"OCaml","BST","qcheck:typebased","DeleteInsert",["insert_2"],true,1.00,0.00,0.00,0.7971
"OCaml","BST","qcheck:typebased","DeleteInsert",["delete_4"],true,1.00,0.00,0.00,0.0123
"OCaml","BST","qcheck:typebased","DeleteInsert",["delete_5"],true,1.00,0.00,0.00,0.2915
"OCaml","BST","qcheck:typebased","InsertUnion",["insert_1"],true,1.00,0.00,0.00,1.1389
"OCaml","BST","qcheck:typebased","InsertUnion",["insert_2"],true,1.00,0.00,0.00,0.9727
"OCaml","BST","qcheck:typebased","InsertUnion",["insert_3"],true,1.00,0.00,0.00,1.3127
"OCaml","BST","qcheck:typebased","InsertUnion",["union_6"],true,1.00,0.00,0.00,1.1766
"OCaml","BST","qcheck:typebased","InsertUnion",["union_7"],true,95.70,0.00,0.00,0.3957
"OCaml","BST","qcheck:typebased","InsertUnion",["union_8"],true,104.50,0.00,0.00,0.3777
"OCaml","BST","qcheck:typebased","UnionDeleteInsert",["insert_1"],true,1.00,0.00,0.00,0.5726
"OCaml","BST","qcheck:typebased","UnionDeleteInsert",["insert_2"],true,1.00,0.00,0.00,1.0907
"OCaml","BST","qcheck:typebased","UnionDeleteInsert",["insert_3"],true,1.00,0.00,0.00,4.3501
"OCaml","BST","qcheck:typebased","UnionDeleteInsert",["delete_4"],true,1.00,0.00,0.00,0.8996
"OCaml","BST","qcheck:typebased","UnionDeleteInsert",["delete_5"],true,1.00,0.00,0.00,7.3570
"OCaml","BST","qcheck:typebased","UnionDeleteInsert",["union_6"],true,1.00,0.00,0.00,0.8810
"OCaml","BST","qcheck:typebased","UnionDeleteInsert",["union_7"],true,175.00,0.00,0.00,0.4662
"OCaml","BST","qcheck:typebased","UnionDeleteInsert",["union_8"],true,199.90,0.00,0.00,0.4287
"OCaml","BST","qcheck:typebased","InsertDelete",["insert_2"],true,1.00,0.00,0.00,0.9065
"OCaml","BST","qcheck:typebased","InsertDelete",["insert_3"],true,1.00,0.00,0.00,3.4342
"OCaml","BST","qcheck:typebased","InsertDelete",["delete_4"],true,1.00,0.00,0.00,0.0262
