language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","BST","RackcheckBespoke","InsertInsert",["insert_1"],true,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertInsert",["insert_2"],true,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","InsertInsert",["insert_3"],true,0.00,0.00,0.00,0.0005
"Racket","BST","RackcheckBespoke","InsertPost",["insert_1"],true,0.00,0.00,0.00,0.0442
"Racket","BST","RackcheckBespoke","InsertPost",["insert_2"],true,0.00,0.00,0.00,0.0935
"Racket","BST","RackcheckBespoke","InsertPost",["insert_3"],true,0.00,0.00,0.00,0.1992
"Racket","BST","RackcheckBespoke","InsertModel",["insert_1"],true,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertModel",["insert_2"],true,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","InsertModel",["insert_3"],true,0.00,0.00,0.00,0.0617
"Racket","BST","RackcheckBespoke","DeleteInsert",["insert_1"],true,0.00,0.00,0.00,0.0627
"Racket","BST","RackcheckBespoke","DeleteInsert",["insert_2"],true,0.00,0.00,0.00,0.1076
"Racket","BST","RackcheckBespoke","DeleteInsert",["delete_4"],true,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","DeleteInsert",["delete_5"],true,0.00,0.00,0.00,0.1128
"Racket","BST","RackcheckBespoke","InsertUnion",["insert_1"],true,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","InsertUnion",["insert_2"],true,0.00,0.00,0.00,0.0019
"Racket","BST","RackcheckBespoke","InsertUnion",["insert_3"],true,0.00,0.00,0.00,0.0002
"Racket","BST","RackcheckBespoke","InsertUnion",["union_6"],true,0.00,0.00,0.00,0.0002
"Racket","BST","RackcheckBespoke","InsertUnion",["union_7"],true,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","InsertUnion",["union_8"],true,0.00,0.00,0.00,0.0006
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["insert_1"],true,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["insert_2"],true,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["insert_3"],true,0.00,0.00,0.00,0.1221
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["delete_4"],true,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["delete_5"],true,0.00,0.00,0.00,0.1033
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["union_6"],true,0.00,0.00,0.00,0.0002
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["union_7"],true,0.00,0.00,0.00,0.0002
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["union_8"],true,0.00,0.00,0.00,0.0003
"Racket","BST","RackcheckBespoke","InsertDelete",["insert_2"],true,0.00,0.00,0.00,0.1137
"Racket","BST","RackcheckBespoke","InsertDelete",["insert_3"],true,0.00,0.00,0.00,0.2575
"Racket","BST","RackcheckBespoke","InsertDelete",["delete_4"],true,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","DeleteModel",["delete_4"],true,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","DeleteModel",["delete_5"],true,0.00,0.00,0.00,0.0518
"Racket","BST","RackcheckBespoke","DeletePost",["delete_4"],true,0.00,0.00,0.00,0.0504
"Racket","BST","RackcheckBespoke","DeletePost",["delete_5"],true,0.00,0.00,0.00,0.7675
"Racket","BST","RackcheckBespoke","DeleteDelete",["delete_4"],true,0.00,0.00,0.00,0.1487
"Racket","BST","RackcheckBespoke","DeleteDelete",["delete_5"],true,0.00,0.00,0.00,0.2611
"Racket","BST","RackcheckBespoke","DeleteUnion",["delete_4"],true,0.00,0.00,0.00,0.0971
"Racket","BST","RackcheckBespoke","DeleteUnion",["delete_5"],true,0.00,0.00,0.00,0.2322
"Racket","BST","RackcheckBespoke","DeleteUnion",["union_6"],true,0.00,0.00,0.00,0.0954
"Racket","BST","RackcheckBespoke","DeleteUnion",["union_7"],true,0.00,0.00,0.00,0.1026
"Racket","BST","RackcheckBespoke","DeleteUnion",["union_8"],true,0.00,0.00,0.00,0.1499
"Racket","BST","RackcheckBespoke","UnionValid",["union_6"],true,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","UnionValid",["union_7"],true,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","UnionPost",["union_6"],true,0.00,0.00,0.00,0.0994
"Racket","BST","RackcheckBespoke","UnionPost",["union_7"],true,0.00,0.00,0.00,0.0795
"Racket","BST","RackcheckBespoke","UnionPost",["union_8"],true,0.00,0.00,0.00,0.2444
"Racket","BST","RackcheckBespoke","UnionModel",["union_6"],true,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","UnionModel",["union_7"],true,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","UnionModel",["union_8"],true,0.00,0.00,0.00,0.0357
"Racket","BST","RackcheckBespoke","UnionUnionAssoc",["union_6"],true,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","UnionUnionAssoc",["union_7"],true,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","UnionUnionAssoc",["union_8"],true,0.00,0.00,0.00,0.0003
