language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Rocq","BST","BespokeGenerator","InsertInsert",["insert_1"],true,2.80,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","InsertInsert",["insert_2"],true,3.30,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","InsertInsert",["insert_3"],true,2.30,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","InsertPost",["insert_1"],true,7.90,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","InsertPost",["insert_2"],true,23.80,0.00,0.00,0.0002
"Rocq","BST","BespokeGenerator","InsertPost",["insert_3"],true,35.00,0.00,0.00,0.0002
"Rocq","BST","BespokeGenerator","InsertModel",["insert_1"],true,1.20,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","InsertModel",["insert_2"],true,7.30,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","InsertModel",["insert_3"],true,12.50,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","DeleteInsert",["insert_1"],true,2.40,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","DeleteInsert",["insert_2"],true,25.50,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","DeleteInsert",["delete_4"],true,2.20,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","DeleteInsert",["delete_5"],true,1.10,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","InsertUnion",["insert_1"],true,1.20,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","InsertUnion",["insert_2"],true,2.10,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","InsertUnion",["insert_3"],true,2.50,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","InsertUnion",["union_6"],true,10.00,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","InsertUnion",["union_7"],true,2.20,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","InsertUnion",["union_8"],true,2.70,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["insert_1"],true,1.20,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["insert_2"],true,6.60,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["insert_3"],true,10.70,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["delete_4"],true,1.50,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["delete_5"],true,8.60,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["union_6"],true,1.20,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["union_7"],true,1.80,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["union_8"],true,3.40,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","InsertDelete",["insert_2"],true,18.10,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","InsertDelete",["insert_3"],true,15.90,0.00,0.00,0.0002
"Rocq","BST","BespokeGenerator","InsertDelete",["delete_4"],true,1.10,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","DeleteModel",["delete_4"],true,1.20,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","DeleteModel",["delete_5"],true,5.40,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","DeletePost",["delete_4"],true,7.70,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","DeletePost",["delete_5"],true,28.20,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","DeleteDelete",["delete_4"],true,75.60,0.00,0.00,0.0006
"Rocq","BST","BespokeGenerator","DeleteDelete",["delete_5"],true,348.70,0.00,0.00,0.0019
"Rocq","BST","BespokeGenerator","DeleteUnion",["delete_4"],true,6.60,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","DeleteUnion",["delete_5"],true,77.50,0.00,0.00,0.0008
"Rocq","BST","BespokeGenerator","DeleteUnion",["union_6"],true,9.70,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","DeleteUnion",["union_7"],true,15.50,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","DeleteUnion",["union_8"],true,47.70,0.00,0.00,0.0005
"Rocq","BST","BespokeGenerator","UnionValid",["union_6"],true,1.30,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","UnionValid",["union_7"],true,2.10,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","UnionPost",["union_6"],true,8.60,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionPost",["union_7"],true,12.20,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionPost",["union_8"],true,58.10,0.00,0.00,0.0006
"Rocq","BST","BespokeGenerator","UnionModel",["union_6"],true,1.40,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","UnionModel",["union_7"],true,1.60,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","UnionModel",["union_8"],true,5.20,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionUnionAssoc",["union_6"],true,2.10,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","UnionUnionAssoc",["union_7"],true,1.60,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","UnionUnionAssoc",["union_8"],true,6.90,0.00,0.00,0.0001
