language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Rust","BST","quickcheck","InsertInsert",["insert_1"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertInsert",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertInsert",["insert_3"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertPost",["insert_1"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertPost",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertPost",["insert_3"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertModel",["insert_1"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertModel",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertModel",["insert_3"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","DeleteInsert",["insert_1"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","DeleteInsert",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","DeleteInsert",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","DeleteInsert",["delete_5"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertUnion",["insert_1"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertUnion",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertUnion",["insert_3"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertUnion",["union_6"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertUnion",["union_7"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertUnion",["union_8"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionDeleteInsert",["insert_1"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionDeleteInsert",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionDeleteInsert",["insert_3"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionDeleteInsert",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionDeleteInsert",["delete_5"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionDeleteInsert",["union_6"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionDeleteInsert",["union_7"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionDeleteInsert",["union_8"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertDelete",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertDelete",["insert_3"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","InsertDelete",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","DeleteModel",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","DeleteModel",["delete_5"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","DeletePost",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","DeletePost",["delete_5"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","DeleteDelete",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","DeleteDelete",["delete_5"],true,1.00,0.00,0.00,0.0001
"Rust","BST","quickcheck","DeleteUnion",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","DeleteUnion",["delete_5"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","DeleteUnion",["union_6"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","DeleteUnion",["union_7"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","DeleteUnion",["union_8"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionValid",["union_6"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionValid",["union_7"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionPost",["union_6"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionPost",["union_7"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionPost",["union_8"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionModel",["union_6"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionModel",["union_7"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionModel",["union_8"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionUnionAssoc",["union_6"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionUnionAssoc",["union_7"],true,1.00,0.00,0.00,0.0000
"Rust","BST","quickcheck","UnionUnionAssoc",["union_8"],true,1.00,0.00,0.00,0.0000
