language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Haskell","BST","Correct","InsertInsert",["insert_1"],false,1.60,0.00,0.00,0.0012
"Haskell","BST","Correct","InsertInsert",["insert_2"],false,1.60,0.00,0.00,0.0009
"Haskell","BST","Correct","InsertInsert",["insert_3"],false,22.10,0.00,0.00,0.0012
"Haskell","BST","Correct","InsertPost",["insert_1"],false,5.90,0.00,0.00,0.0011
"Haskell","BST","Correct","InsertPost",["insert_2"],false,13.70,0.00,0.00,0.0015
"Haskell","BST","Correct","InsertPost",["insert_3"],false,207.20,0.00,0.00,0.0027
"Haskell","BST","Correct","InsertModel",["insert_1"],false,2.20,0.00,0.00,0.0009
"Haskell","BST","Correct","InsertModel",["insert_2"],false,4.40,0.00,0.00,0.0011
"Haskell","BST","Correct","InsertModel",["insert_3"],false,7.90,0.00,0.00,0.0012
"Haskell","BST","Correct","DeleteInsert",["insert_1"],false,32.40,0.00,0.00,0.0022
"Haskell","BST","Correct","DeleteInsert",["insert_2"],false,29.50,0.00,0.00,0.0018
"Haskell","BST","Correct","DeleteInsert",["delete_4"],false,1.70,0.00,0.00,0.0028
"Haskell","BST","Correct","DeleteInsert",["delete_5"],false,32.50,0.00,0.00,0.0014
"Haskell","BST","Correct","InsertUnion",["insert_1"],false,1.70,0.00,0.00,0.0010
"Haskell","BST","Correct","InsertUnion",["insert_2"],false,5.90,0.00,0.00,0.0008
"Haskell","BST","Correct","InsertUnion",["insert_3"],false,7.70,0.00,0.00,0.0008
"Haskell","BST","Correct","InsertUnion",["union_6"],false,4.40,0.00,0.00,0.0015
"Haskell","BST","Correct","InsertUnion",["union_7"],false,2.80,0.00,0.00,0.0009
"Haskell","BST","Correct","InsertUnion",["union_8"],false,13.00,0.00,0.00,0.0009
"Haskell","BST","Correct","UnionDeleteInsert",["insert_1"],false,1.90,0.00,0.00,0.0009
"Haskell","BST","Correct","UnionDeleteInsert",["insert_2"],false,2.70,0.00,0.00,0.0008
"Haskell","BST","Correct","UnionDeleteInsert",["insert_3"],false,7.00,0.00,0.00,0.0009
"Haskell","BST","Correct","UnionDeleteInsert",["delete_4"],false,1.90,0.00,0.00,0.0020
"Haskell","BST","Correct","UnionDeleteInsert",["delete_5"],false,7.00,0.00,0.00,0.0008
"Haskell","BST","Correct","UnionDeleteInsert",["union_6"],false,2.20,0.00,0.00,0.0010
"Haskell","BST","Correct","UnionDeleteInsert",["union_7"],false,4.10,0.00,0.00,0.0011
"Haskell","BST","Correct","UnionDeleteInsert",["union_8"],false,68.00,0.00,0.00,0.0099
"Haskell","BST","Correct","InsertDelete",["insert_2"],false,48.20,0.00,0.00,0.0020
"Haskell","BST","Correct","InsertDelete",["insert_3"],false,239.20,0.00,0.00,0.0037
"Haskell","BST","Correct","InsertDelete",["delete_4"],false,1.40,0.00,0.00,0.0010
"Haskell","BST","Correct","DeleteModel",["delete_4"],false,2.20,0.00,0.00,0.0043
"Haskell","BST","Correct","DeleteModel",["delete_5"],false,8.70,0.00,0.00,0.0017
"Haskell","BST","Correct","DeletePost",["delete_4"],false,7.50,0.00,0.00,0.0011
"Haskell","BST","Correct","DeletePost",["delete_5"],false,160.30,0.00,0.00,0.0021
"Haskell","BST","Correct","DeleteDelete",["delete_4"],false,93.80,0.00,0.00,0.0027
"Haskell","BST","Correct","DeleteDelete",["delete_5"],false,766.10,0.00,0.00,0.0096
"Haskell","BST","Correct","DeleteUnion",["delete_4"],false,6.20,0.00,0.00,0.0011
"Haskell","BST","Correct","DeleteUnion",["delete_5"],false,38.10,0.00,0.00,0.0018
"Haskell","BST","Correct","DeleteUnion",["union_6"],false,8.40,0.00,0.00,0.0017
"Haskell","BST","Correct","DeleteUnion",["union_7"],false,9.00,0.00,0.00,0.0017
"Haskell","BST","Correct","DeleteUnion",["union_8"],false,17.70,0.00,0.00,0.0010
"Haskell","BST","Correct","UnionValid",["union_6"],false,2.70,0.00,0.00,0.0011
"Haskell","BST","Correct","UnionValid",["union_7"],false,4.30,0.00,0.00,0.0014
"Haskell","BST","Correct","UnionPost",["union_6"],false,7.60,0.00,0.00,0.0019
"Haskell","BST","Correct","UnionPost",["union_7"],false,9.30,0.00,0.00,0.0010
"Haskell","BST","Correct","UnionPost",["union_8"],false,45.90,0.00,0.00,0.0019
"Haskell","BST","Correct","UnionModel",["union_6"],false,2.80,0.00,0.00,0.0019
"Haskell","BST","Correct","UnionModel",["union_7"],false,4.80,0.00,0.00,0.0015
"Haskell","BST","Correct","UnionModel",["union_8"],false,6.40,0.00,0.00,0.0011
"Haskell","BST","Correct","UnionUnionAssoc",["union_6"],false,2.50,0.00,0.00,0.0028
"Haskell","BST","Correct","UnionUnionAssoc",["union_7"],false,4.40,0.00,0.00,0.0010
"Haskell","BST","Correct","UnionUnionAssoc",["union_8"],false,7.50,0.00,0.00,0.0017
