language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","BST","qcheck:bespoke","InsertInsert",["insert_1"],false,1.10,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","InsertInsert",["insert_2"],false,1.50,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","InsertInsert",["insert_3"],false,23.10,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","InsertPost",["insert_1"],false,10.50,0.00,0.00,0.0002
"OCaml","BST","qcheck:bespoke","InsertPost",["insert_2"],false,23.40,0.00,0.00,0.0004
"OCaml","BST","qcheck:bespoke","InsertPost",["insert_3"],false,228.30,0.00,0.00,0.0009
"OCaml","BST","qcheck:bespoke","InsertModel",["insert_1"],false,1.20,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","InsertModel",["insert_2"],false,2.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","InsertModel",["insert_3"],false,15.60,0.00,0.00,0.0002
"OCaml","BST","qcheck:bespoke","DeleteInsert",["insert_1"],false,25.40,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","DeleteInsert",["insert_2"],false,34.00,0.00,0.00,0.0007
"OCaml","BST","qcheck:bespoke","DeleteInsert",["delete_4"],false,1.10,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","DeleteInsert",["delete_5"],false,24.50,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","InsertUnion",["insert_1"],false,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","InsertUnion",["insert_2"],false,6.40,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","InsertUnion",["insert_3"],false,14.80,0.00,0.00,0.0004
"OCaml","BST","qcheck:bespoke","InsertUnion",["union_6"],false,3.30,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","InsertUnion",["union_7"],false,2.40,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","InsertUnion",["union_8"],false,9.00,0.00,0.00,0.0003
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["insert_1"],false,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["insert_2"],false,2.40,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["insert_3"],false,14.70,0.00,0.00,0.0004
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["delete_4"],false,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["delete_5"],false,10.00,0.00,0.00,0.0005
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["union_6"],false,1.20,0.00,0.00,0.0001
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["union_7"],false,3.30,0.00,0.00,0.0004
"OCaml","BST","qcheck:bespoke","UnionDeleteInsert",["union_8"],false,839.40,0.00,0.00,0.0059
"OCaml","BST","qcheck:bespoke","InsertDelete",["insert_2"],false,32.30,0.00,0.00,0.0006
"OCaml","BST","qcheck:bespoke","InsertDelete",["insert_3"],false,118.30,0.00,0.00,0.0024
"OCaml","BST","qcheck:bespoke","InsertDelete",["delete_4"],false,1.20,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","DeleteModel",["delete_4"],false,1.00,0.00,0.00,0.0000
"OCaml","BST","qcheck:bespoke","DeleteModel",["delete_5"],false,16.70,0.00,0.00,0.0003
"OCaml","BST","qcheck:bespoke","DeletePost",["delete_4"],false,10.90,0.00,0.00,0.0002
"OCaml","BST","qcheck:bespoke","DeletePost",["delete_5"],false,528.60,0.00,0.00,0.0014
"OCaml","BST","qcheck:bespoke","DeleteDelete",["delete_4"],false,103.70,0.00,0.00,0.0007
