language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","BST","RackcheckBespoke","InsertInsert",["insert_1"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertInsert",["insert_2"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertInsert",["insert_3"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertPost",["insert_1"],false,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","InsertPost",["insert_2"],false,0.00,0.00,0.00,0.0002
"Racket","BST","RackcheckBespoke","InsertPost",["insert_3"],false,0.00,0.00,0.00,0.0003
"Racket","BST","RackcheckBespoke","InsertModel",["insert_1"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertModel",["insert_2"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertModel",["insert_3"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","DeleteInsert",["insert_1"],false,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","DeleteInsert",["insert_2"],false,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","DeleteInsert",["delete_4"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","DeleteInsert",["delete_5"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertUnion",["insert_1"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertUnion",["insert_2"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertUnion",["insert_3"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertUnion",["union_6"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertUnion",["union_7"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertUnion",["union_8"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["insert_1"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["insert_2"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["insert_3"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["delete_4"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["delete_5"],false,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["union_6"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["union_7"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionDeleteInsert",["union_8"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertDelete",["insert_2"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertDelete",["insert_3"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","InsertDelete",["delete_4"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","DeleteModel",["delete_4"],false,0.00,0.00,0.00,0.0002
"Racket","BST","RackcheckBespoke","DeleteModel",["delete_5"],false,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","DeletePost",["delete_4"],false,0.00,0.00,0.00,0.0002
"Racket","BST","RackcheckBespoke","DeletePost",["delete_5"],false,0.00,0.00,0.00,0.0004
"Racket","BST","RackcheckBespoke","DeleteDelete",["delete_4"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","DeleteDelete",["delete_5"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","DeleteUnion",["delete_4"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","DeleteUnion",["delete_5"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","DeleteUnion",["union_6"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","DeleteUnion",["union_7"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","DeleteUnion",["union_8"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionValid",["union_6"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionValid",["union_7"],false,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","UnionPost",["union_6"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionPost",["union_7"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionPost",["union_8"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionModel",["union_6"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionModel",["union_7"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionModel",["union_8"],false,0.00,0.00,0.00,0.0000
"Racket","BST","RackcheckBespoke","UnionUnionAssoc",["union_6"],false,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","UnionUnionAssoc",["union_7"],false,0.00,0.00,0.00,0.0001
"Racket","BST","RackcheckBespoke","UnionUnionAssoc",["union_8"],false,0.00,0.00,0.00,0.0000
