language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Rocq","BST","BespokeGenerator","InsertInsert",["insert_1"],false,3.10,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","InsertInsert",["insert_2"],false,3.70,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","InsertInsert",["insert_3"],false,3.50,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","InsertPost",["insert_1"],false,7.10,0.00,5.40,0.0025
"Rocq","BST","BespokeGenerator","InsertPost",["insert_2"],false,23.10,0.00,6.70,0.0040
"Rocq","BST","BespokeGenerator","InsertPost",["insert_3"],false,22.50,0.00,6.10,0.0067
"Rocq","BST","BespokeGenerator","InsertModel",["insert_1"],false,1.10,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","InsertModel",["insert_2"],false,19.00,0.00,0.00,0.0003
"Rocq","BST","BespokeGenerator","InsertModel",["insert_3"],false,8.80,0.00,0.00,0.0002
"Rocq","BST","BespokeGenerator","DeleteInsert",["insert_1"],false,1.70,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","DeleteInsert",["insert_2"],false,21.00,0.00,0.00,0.0003
"Rocq","BST","BespokeGenerator","DeleteInsert",["delete_4"],false,2.80,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","DeleteInsert",["delete_5"],false,1.80,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","InsertUnion",["insert_1"],false,1.10,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","InsertUnion",["insert_2"],false,3.00,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","InsertUnion",["insert_3"],false,2.40,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","InsertUnion",["union_6"],false,8.00,0.00,0.00,0.0003
"Rocq","BST","BespokeGenerator","InsertUnion",["union_7"],false,2.40,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","InsertUnion",["union_8"],false,2.90,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["insert_1"],false,1.10,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["insert_2"],false,5.20,0.00,0.00,0.0002
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["insert_3"],false,9.30,0.00,0.00,0.0004
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["delete_4"],false,1.10,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["delete_5"],false,7.20,0.00,0.00,0.0002
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["union_6"],false,1.00,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["union_7"],false,1.30,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionDeleteInsert",["union_8"],false,2.80,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","InsertDelete",["insert_2"],false,11.70,0.00,0.00,0.0002
"Rocq","BST","BespokeGenerator","InsertDelete",["insert_3"],false,22.30,0.00,0.00,0.0005
"Rocq","BST","BespokeGenerator","InsertDelete",["delete_4"],false,1.50,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","DeleteModel",["delete_4"],false,1.30,0.00,0.00,0.0000
"Rocq","BST","BespokeGenerator","DeleteModel",["delete_5"],false,9.00,0.00,0.00,0.0002
"Rocq","BST","BespokeGenerator","DeletePost",["delete_4"],false,7.30,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","DeletePost",["delete_5"],false,17.90,0.00,0.00,0.0003
"Rocq","BST","BespokeGenerator","DeleteDelete",["delete_4"],false,82.30,0.00,0.00,0.0011
"Rocq","BST","BespokeGenerator","DeleteDelete",["delete_5"],false,439.70,0.00,0.00,0.0054
"Rocq","BST","BespokeGenerator","DeleteUnion",["delete_4"],false,8.90,0.00,0.00,0.0003
"Rocq","BST","BespokeGenerator","DeleteUnion",["delete_5"],false,82.40,0.00,0.00,0.0020
"Rocq","BST","BespokeGenerator","DeleteUnion",["union_6"],false,6.90,0.00,0.00,0.0002
"Rocq","BST","BespokeGenerator","DeleteUnion",["union_7"],false,10.90,0.00,0.00,0.0003
"Rocq","BST","BespokeGenerator","DeleteUnion",["union_8"],false,59.70,0.00,0.00,0.0016
"Rocq","BST","BespokeGenerator","UnionValid",["union_6"],false,1.30,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionValid",["union_7"],false,1.40,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionPost",["union_6"],false,8.70,0.00,0.00,0.0004
"Rocq","BST","BespokeGenerator","UnionPost",["union_7"],false,18.10,0.00,0.00,0.0007
"Rocq","BST","BespokeGenerator","UnionPost",["union_8"],false,53.00,0.00,0.00,0.0012
"Rocq","BST","BespokeGenerator","UnionModel",["union_6"],false,1.40,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionModel",["union_7"],false,1.50,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionModel",["union_8"],false,5.50,0.00,0.00,0.0002
"Rocq","BST","BespokeGenerator","UnionUnionAssoc",["union_6"],false,1.20,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionUnionAssoc",["union_7"],false,1.40,0.00,0.00,0.0001
"Rocq","BST","BespokeGenerator","UnionUnionAssoc",["union_8"],false,13.20,0.00,0.00,0.0006
