language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Haskell","BST","Correct","InsertInsert",["insert_1"],true,0.00,0.00,0.00,0.0025
"Haskell","BST","Correct","InsertInsert",["insert_2"],true,0.00,0.00,0.00,0.0025
"Haskell","BST","Correct","InsertInsert",["insert_3"],true,0.00,0.00,0.00,0.0023
"Haskell","BST","Correct","InsertPost",["insert_1"],true,0.00,0.00,0.00,0.0102
"Haskell","BST","Correct","InsertPost",["insert_2"],true,0.00,0.00,0.00,0.0200
"Haskell","BST","Correct","InsertPost",["insert_3"],true,0.00,0.00,0.00,0.3791
"Haskell","BST","Correct","InsertModel",["insert_1"],true,0.00,0.00,0.00,0.0063
"Haskell","BST","Correct","InsertModel",["insert_2"],true,0.00,0.00,0.00,0.0025
"Haskell","BST","Correct","InsertModel",["insert_3"],true,0.00,0.00,0.00,0.0090
"Haskell","BST","Correct","DeleteInsert",["insert_1"],true,0.00,0.00,0.00,0.0450
"Haskell","BST","Correct","DeleteInsert",["insert_2"],true,0.00,0.00,0.00,0.0251
"Haskell","BST","Correct","DeleteInsert",["delete_4"],true,0.00,0.00,0.00,0.0028
"Haskell","BST","Correct","DeleteInsert",["delete_5"],true,0.00,0.00,0.00,0.0318
"Haskell","BST","Correct","InsertUnion",["insert_1"],true,0.00,0.00,0.00,0.0023
"Haskell","BST","Correct","InsertUnion",["insert_2"],true,0.00,0.00,0.00,0.0053
"Haskell","BST","Correct","InsertUnion",["insert_3"],true,0.00,0.00,0.00,0.0035
"Haskell","BST","Correct","InsertUnion",["union_6"],true,0.00,0.00,0.00,0.0029
"Haskell","BST","Correct","InsertUnion",["union_7"],true,0.00,0.00,0.00,0.0036
"Haskell","BST","Correct","InsertUnion",["union_8"],true,0.00,0.00,0.00,0.0066
"Haskell","BST","Correct","UnionDeleteInsert",["insert_1"],true,0.00,0.00,0.00,0.0024
"Haskell","BST","Correct","UnionDeleteInsert",["insert_2"],true,0.00,0.00,0.00,0.0063
"Haskell","BST","Correct","UnionDeleteInsert",["insert_3"],true,0.00,0.00,0.00,0.0043
"Haskell","BST","Correct","UnionDeleteInsert",["delete_4"],true,0.00,0.00,0.00,0.0198
"Haskell","BST","Correct","UnionDeleteInsert",["delete_5"],true,0.00,0.00,0.00,0.0078
"Haskell","BST","Correct","UnionDeleteInsert",["union_6"],true,0.00,0.00,0.00,0.0021
"Haskell","BST","Correct","UnionDeleteInsert",["union_7"],true,0.00,0.00,0.00,0.0044
"Haskell","BST","Correct","UnionDeleteInsert",["union_8"],true,0.00,0.00,0.00,0.0046
"Haskell","BST","Correct","InsertDelete",["insert_2"],true,0.00,0.00,0.00,0.0241
"Haskell","BST","Correct","InsertDelete",["insert_3"],true,0.00,0.00,0.00,0.1478
"Haskell","BST","Correct","InsertDelete",["delete_4"],true,0.00,0.00,0.00,0.0041
"Haskell","BST","Correct","DeleteModel",["delete_4"],true,0.00,0.00,0.00,0.0032
"Haskell","BST","Correct","DeleteModel",["delete_5"],true,0.00,0.00,0.00,0.0049
"Haskell","BST","Correct","DeletePost",["delete_4"],true,0.00,0.00,0.00,0.0064
"Haskell","BST","Correct","DeletePost",["delete_5"],true,0.00,0.00,0.00,0.5546
"Haskell","BST","Correct","DeleteDelete",["delete_4"],true,0.00,0.00,0.00,0.0624
"Haskell","BST","Correct","DeleteDelete",["delete_5"],true,0.00,0.00,0.00,0.8397
"Haskell","BST","Correct","DeleteUnion",["delete_4"],true,0.00,0.00,0.00,0.0074
"Haskell","BST","Correct","DeleteUnion",["delete_5"],true,0.00,0.00,0.00,0.0293
"Haskell","BST","Correct","DeleteUnion",["union_6"],true,0.00,0.00,0.00,0.0086
"Haskell","BST","Correct","DeleteUnion",["union_7"],true,0.00,0.00,0.00,0.0082
"Haskell","BST","Correct","DeleteUnion",["union_8"],true,0.00,0.00,0.00,0.0116
"Haskell","BST","Correct","UnionValid",["union_6"],true,0.00,0.00,0.00,0.0034
"Haskell","BST","Correct","UnionValid",["union_7"],true,0.00,0.00,0.00,0.0063
"Haskell","BST","Correct","UnionPost",["union_6"],true,0.00,0.00,0.00,0.0079
"Haskell","BST","Correct","UnionPost",["union_7"],true,0.00,0.00,0.00,0.0112
"Haskell","BST","Correct","UnionPost",["union_8"],true,0.00,0.00,0.00,0.0824
"Haskell","BST","Correct","UnionModel",["union_6"],true,0.00,0.00,0.00,0.0025
"Haskell","BST","Correct","UnionModel",["union_7"],true,0.00,0.00,0.00,0.0050
"Haskell","BST","Correct","UnionModel",["union_8"],true,0.00,0.00,0.00,0.0069
"Haskell","BST","Correct","UnionUnionAssoc",["union_6"],true,0.00,0.00,0.00,0.0028
"Haskell","BST","Correct","UnionUnionAssoc",["union_7"],true,0.00,0.00,0.00,0.0029
"Haskell","BST","Correct","UnionUnionAssoc",["union_8"],true,0.00,0.00,0.00,0.0089
