language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Rocq","RBT","BespokeGenerator","InsertPost",["insert_1"],false,6.20,0.00,0.00,0.0002
"Rocq","RBT","BespokeGenerator","InsertPost",["insert_2"],false,39.90,0.00,0.00,0.0008
"Rocq","RBT","BespokeGenerator","InsertPost",["insert_3"],false,328.90,0.00,0.00,0.0050
"Rocq","RBT","BespokeGenerator","InsertModel",["insert_1"],false,1.00,0.00,0.00,0.0001
"Rocq","RBT","BespokeGenerator","InsertModel",["insert_2"],false,1.50,0.00,0.00,0.0001
"Rocq","RBT","BespokeGenerator","InsertModel",["insert_3"],false,6.20,0.00,0.00,0.0002
"Rocq","RBT","BespokeGenerator","DeleteInsert",["insert_1"],false,30.00,0.00,0.00,0.0006
"Rocq","RBT","BespokeGenerator","DeleteInsert",["insert_2"],false,38.90,0.00,0.00,0.0009
"Rocq","RBT","BespokeGenerator","DeleteInsert",["delete_4"],false,1.10,0.00,0.00,0.0001
"Rocq","RBT","BespokeGenerator","DeleteInsert",["delete_5"],false,43.20,0.00,0.00,0.0011
"Rocq","RBT","BespokeGenerator","DeleteInsert",["miscolor_insert"],false,41.80,0.00,0.00,0.0010
"Rocq","RBT","BespokeGenerator","DeleteInsert",["no_balance_insert_1"],false,5140.90,0.00,0.00,0.0899
"Rocq","RBT","BespokeGenerator","DeleteInsert",["no_balance_insert_2"],false,67.20,0.00,0.00,0.0015
"Rocq","RBT","BespokeGenerator","InsertInsert",["insert_1"],false,1.00,0.00,0.00,0.0001
"Rocq","RBT","BespokeGenerator","InsertInsert",["insert_2"],false,3.40,0.00,0.00,0.0001
"Rocq","RBT","BespokeGenerator","InsertInsert",["insert_3"],false,66.70,0.00,0.00,0.0015
"Rocq","RBT","BespokeGenerator","InsertDelete",["insert_2"],false,36.80,0.00,0.00,0.0010
"Rocq","RBT","BespokeGenerator","InsertDelete",["insert_3"],false,277.00,0.00,0.00,0.0054
"Rocq","RBT","BespokeGenerator","InsertDelete",["delete_4"],false,1.20,0.00,0.00,0.0001
"Rocq","RBT","BespokeGenerator","InsertDelete",["no_balance_insert_1"],false,5717.40,0.00,0.00,0.1000
"Rocq","RBT","BespokeGenerator","InsertDelete",["no_balance_insert_2"],false,64.80,0.00,0.00,0.0015
"Rocq","RBT","BespokeGenerator","DeleteDelete",["delete_4"],false,161.80,0.00,0.00,0.0025
"Rocq","RBT","BespokeGenerator","DeleteDelete",["delete_5"],false,796.50,0.00,0.00,0.0138
"Rocq","RBT","BespokeGenerator","DeleteDelete",["miscolor_balLeft"],false,9463.10,0.00,0.00,0.1623
"Rocq","RBT","BespokeGenerator","DeleteDelete",["miscolor_balRight"],false,11316.50,0.00,0.00,0.1901
"Rocq","RBT","BespokeGenerator","DeleteDelete",["miscolor_join_2"],false,1147.50,0.00,0.00,0.0308
"Rocq","RBT","BespokeGenerator","DeleteModel",["delete_4"],false,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","DeleteModel",["delete_5"],false,7.00,0.00,0.00,0.0002
"Rocq","RBT","BespokeGenerator","DeletePost",["delete_4"],false,7.90,0.00,0.00,0.0002
"Rocq","RBT","BespokeGenerator","DeletePost",["delete_5"],false,358.50,0.00,0.00,0.0052
"Rocq","RBT","BespokeGenerator","InsertValid",["miscolor_insert"],false,1.20,0.00,0.00,0.0001
"Rocq","RBT","BespokeGenerator","InsertValid",["no_balance_insert_1"],false,5.30,0.00,0.00,0.0001
"Rocq","RBT","BespokeGenerator","InsertValid",["no_balance_insert_2"],false,1.80,0.00,0.00,0.0001
