language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Haskell","RBT","Correct","InsertPost",["insert_1"],true,1.00,0.00,0.00,0.0008
"Haskell","RBT","Correct","InsertPost",["insert_2"],true,1.00,0.00,0.00,0.0013
"Haskell","RBT","Correct","InsertPost",["insert_3"],true,1.00,0.00,0.00,0.0028
"Haskell","RBT","Correct","InsertModel",["insert_1"],true,1.00,0.00,0.00,0.0007
"Haskell","RBT","Correct","InsertModel",["insert_2"],true,1.00,0.00,0.00,0.0003
"Haskell","RBT","Correct","InsertModel",["insert_3"],true,1.00,0.00,0.00,0.0006
"Haskell","RBT","Correct","DeleteInsert",["insert_1"],true,1.00,0.00,0.00,0.0007
"Haskell","RBT","Correct","DeleteInsert",["insert_2"],true,1.00,0.00,0.00,0.0005
"Haskell","RBT","Correct","DeleteInsert",["delete_4"],true,1.00,0.00,0.00,0.0003
"Haskell","RBT","Correct","DeleteInsert",["delete_5"],true,1.00,0.00,0.00,0.0011
"Haskell","RBT","Correct","DeleteInsert",["miscolor_insert"],true,1.00,0.00,0.00,0.0014
"Haskell","RBT","Correct","DeleteInsert",["no_balance_insert_1"],true,1.00,0.00,0.00,0.1169
"Haskell","RBT","Correct","DeleteInsert",["no_balance_insert_2"],true,1.00,0.00,0.00,0.0014
"Haskell","RBT","Correct","InsertInsert",["insert_1"],true,1.00,0.00,0.00,0.0005
"Haskell","RBT","Correct","InsertInsert",["insert_2"],true,1.00,0.00,0.00,0.0005
"Haskell","RBT","Correct","InsertInsert",["insert_3"],true,1.00,0.00,0.00,0.0013
"Haskell","RBT","Correct","InsertDelete",["insert_2"],true,1.00,0.00,0.00,0.0005
"Haskell","RBT","Correct","InsertDelete",["insert_3"],true,1.00,0.00,0.00,0.0008
"Haskell","RBT","Correct","InsertDelete",["delete_4"],true,1.00,0.00,0.00,0.0003
"Haskell","RBT","Correct","InsertDelete",["no_balance_insert_1"],true,1.00,0.00,0.00,0.0012
"Haskell","RBT","Correct","InsertDelete",["no_balance_insert_2"],true,1.00,0.00,0.00,0.0004
"Haskell","RBT","Correct","DeleteDelete",["delete_4"],true,1.00,0.00,0.00,0.0027
"Haskell","RBT","Correct","DeleteDelete",["delete_5"],true,1.00,0.00,0.00,0.0063
"Haskell","RBT","Correct","DeleteDelete",["miscolor_balLeft"],true,5.60,0.00,0.00,0.3230
"Haskell","RBT","Correct","DeleteDelete",["miscolor_balRight"],true,436.30,0.00,0.00,0.2688
"Haskell","RBT","Correct","DeleteDelete",["miscolor_join_2"],true,1.00,0.00,0.00,0.0202
"Haskell","RBT","Correct","DeleteModel",["delete_4"],true,1.00,0.00,0.00,0.0006
"Haskell","RBT","Correct","DeleteModel",["delete_5"],true,1.00,0.00,0.00,0.0007
"Haskell","RBT","Correct","DeletePost",["delete_4"],true,1.00,0.00,0.00,0.0005
"Haskell","RBT","Correct","DeletePost",["delete_5"],true,1.00,0.00,0.00,0.0053
"Haskell","RBT","Correct","InsertValid",["miscolor_insert"],true,1.00,0.00,0.00,0.0006
"Haskell","RBT","Correct","InsertValid",["no_balance_insert_1"],true,1.00,0.00,0.00,0.0006
"Haskell","RBT","Correct","InsertValid",["no_balance_insert_2"],true,1.00,0.00,0.00,0.0007
"Haskell","RBT","Correct","DeleteValid",["miscolor_delete"],true,1.00,0.00,0.00,0.0005
"Haskell","RBT","Correct","DeleteValid",["miscolor_balLeft"],true,1.00,0.00,0.00,0.0045
"Haskell","RBT","Correct","DeleteValid",["miscolor_balRight"],true,1.00,0.00,0.00,0.0051
"Haskell","RBT","Correct","DeleteValid",["miscolor_join_1"],true,1.00,0.00,0.00,0.0065
"Haskell","RBT","Correct","DeleteValid",["miscolor_join_2"],true,1.00,0.00,0.00,0.0009
