language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Rust","RBT","quickcheck","InsertPost",["insert_1"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertPost",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertPost",["insert_3"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertModel",["insert_1"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertModel",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertModel",["insert_3"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeleteInsert",["insert_1"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeleteInsert",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeleteInsert",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeleteInsert",["delete_5"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeleteInsert",["miscolor_insert"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeleteInsert",["no_balance_insert_1"],true,1.00,0.00,0.00,0.0110
"Rust","RBT","quickcheck","DeleteInsert",["no_balance_insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertInsert",["insert_1"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertInsert",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertInsert",["insert_3"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertDelete",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertDelete",["insert_3"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertDelete",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertDelete",["no_balance_insert_1"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertDelete",["no_balance_insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeleteDelete",["delete_4"],true,1.00,0.00,0.00,0.0001
"Rust","RBT","quickcheck","DeleteDelete",["delete_5"],true,1.00,0.00,0.00,0.0001
"Rust","RBT","quickcheck","DeleteDelete",["miscolor_balLeft"],true,1.00,0.00,0.00,0.0083
"Rust","RBT","quickcheck","DeleteDelete",["miscolor_balRight"],true,1.00,0.00,0.00,0.0081
"Rust","RBT","quickcheck","DeleteDelete",["miscolor_join_2"],true,1.00,0.00,0.00,0.0025
"Rust","RBT","quickcheck","DeleteModel",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeleteModel",["delete_5"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeletePost",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeletePost",["delete_5"],true,1.00,0.00,0.00,0.0001
"Rust","RBT","quickcheck","InsertValid",["miscolor_insert"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertValid",["no_balance_insert_1"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertValid",["no_balance_insert_2"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeleteValid",["miscolor_delete"],true,1.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeleteValid",["miscolor_balLeft"],true,1.00,0.00,0.00,0.0005
"Rust","RBT","quickcheck","DeleteValid",["miscolor_balRight"],true,1.00,0.00,0.00,0.0005
"Rust","RBT","quickcheck","DeleteValid",["miscolor_join_1"],true,1.00,0.00,0.00,0.0811
"Rust","RBT","quickcheck","DeleteValid",["miscolor_join_2"],true,1.00,0.00,0.00,0.0001
