language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","RBT","qcheck:bespoke","InsertPost",["insert_1"],false,417.40,0.00,0.00,0.0027
"OCaml","RBT","qcheck:bespoke","InsertPost",["insert_2"],false,12.10,0.00,0.00,0.0013
"OCaml","RBT","qcheck:bespoke","InsertPost",["insert_3"],false,116.20,0.00,0.00,0.0020
"OCaml","RBT","qcheck:bespoke","InsertModel",["insert_1"],false,1.10,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","InsertModel",["insert_2"],false,2.10,0.00,0.00,0.0002
"OCaml","RBT","qcheck:bespoke","InsertModel",["insert_3"],false,11.50,0.00,0.00,0.0009
"OCaml","RBT","qcheck:bespoke","DeleteInsert",["insert_1"],false,9.70,0.00,0.00,0.0002
"OCaml","RBT","qcheck:bespoke","DeleteInsert",["insert_2"],false,22.50,0.00,0.00,0.0011
"OCaml","RBT","qcheck:bespoke","DeleteInsert",["delete_4"],false,1.10,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","DeleteInsert",["delete_5"],false,19.40,0.00,0.00,0.0006
"OCaml","RBT","qcheck:bespoke","DeleteInsert",["miscolor_insert"],false,422.90,0.40,0.00,0.0028
"OCaml","RBT","qcheck:bespoke","DeleteInsert",["no_balance_insert_1"],false,10000000.00,0.00,0.00,44.2536
"OCaml","RBT","qcheck:bespoke","DeleteInsert",["no_balance_insert_2"],false,10000200.00,855742.50,0.00,42.8390
"OCaml","RBT","qcheck:bespoke","InsertInsert",["insert_1"],false,1.10,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","InsertInsert",["insert_2"],false,2.10,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","InsertInsert",["insert_3"],false,16.00,0.00,0.00,0.0005
"OCaml","RBT","qcheck:bespoke","InsertDelete",["insert_2"],false,42.70,0.00,0.00,0.0014
"OCaml","RBT","qcheck:bespoke","InsertDelete",["insert_3"],false,197.30,0.00,0.00,0.0022
"OCaml","RBT","qcheck:bespoke","InsertDelete",["delete_4"],false,1.00,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","InsertDelete",["no_balance_insert_1"],false,10000000.00,0.00,0.00,45.3614
"OCaml","RBT","qcheck:bespoke","InsertDelete",["no_balance_insert_2"],false,10000200.00,855836.70,0.00,42.4098
"OCaml","RBT","qcheck:bespoke","DeleteDelete",["delete_4"],false,217.20,0.00,0.00,0.0031
"OCaml","RBT","qcheck:bespoke","DeleteDelete",["delete_5"],false,18415.10,0.00,0.00,0.0806
"OCaml","RBT","qcheck:bespoke","DeleteDelete",["miscolor_balLeft"],false,127186.00,0.00,0.00,0.5477
"OCaml","RBT","qcheck:bespoke","DeleteDelete",["miscolor_balRight"],false,10000000.00,0.00,0.00,44.2843
"OCaml","RBT","qcheck:bespoke","DeleteDelete",["miscolor_join_2"],false,10000000.00,0.00,0.00,44.3055
"OCaml","RBT","qcheck:bespoke","DeleteModel",["delete_4"],false,1.00,0.00,0.00,0.0000
"OCaml","RBT","qcheck:bespoke","DeleteModel",["delete_5"],false,18.20,0.00,0.00,0.0014
"OCaml","RBT","qcheck:bespoke","DeletePost",["delete_4"],false,13.80,0.00,0.00,0.0011
"OCaml","RBT","qcheck:bespoke","DeletePost",["delete_5"],false,189.10,0.00,0.00,0.0021
"OCaml","RBT","qcheck:bespoke","InsertValid",["miscolor_insert"],false,23.60,1.40,0.00,0.0006
"OCaml","RBT","qcheck:bespoke","InsertValid",["no_balance_insert_1"],false,10000000.00,0.00,0.00,41.6965
"OCaml","RBT","qcheck:bespoke","InsertValid",["no_balance_insert_2"],false,81.40,0.00,0.00,0.0014
"OCaml","RBT","qcheck:bespoke","DeleteValid",["miscolor_delete"],false,2.70,0.00,0.00,0.0007
"OCaml","RBT","qcheck:bespoke","DeleteValid",["miscolor_balLeft"],false,26.80,0.00,0.00,0.0027
"OCaml","RBT","qcheck:bespoke","DeleteValid",["miscolor_balRight"],false,10000000.00,0.00,0.00,40.4263
"OCaml","RBT","qcheck:bespoke","DeleteValid",["miscolor_join_1"],false,10000000.00,0.00,0.00,39.7622
"OCaml","RBT","qcheck:bespoke","DeleteValid",["miscolor_join_2"],false,10000000.00,0.00,0.00,40.5100
