language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","RBT","RackcheckBespoke","InsertPost",["insert_1"],false,0.00,0.00,0.00,0.0002
"Racket","RBT","RackcheckBespoke","InsertPost",["insert_2"],false,0.00,0.00,0.00,0.0003
"Racket","RBT","RackcheckBespoke","InsertPost",["insert_3"],false,0.00,0.00,0.00,0.0002
"Racket","RBT","RackcheckBespoke","InsertModel",["insert_1"],false,0.00,0.00,0.00,0.0001
"Racket","RBT","RackcheckBespoke","InsertModel",["insert_2"],false,0.00,0.00,0.00,0.0001
"Racket","RBT","RackcheckBespoke","InsertModel",["insert_3"],false,0.00,0.00,0.00,0.0002
"Racket","RBT","RackcheckBespoke","DeleteInsert",["insert_1"],false,0.00,0.00,0.00,0.0002
"Racket","RBT","RackcheckBespoke","DeleteInsert",["delete_4"],false,0.00,0.00,0.00,0.0001
"Racket","RBT","RackcheckBespoke","DeleteInsert",["insert_2"],false,0.00,0.00,0.00,0.0003
"Racket","RBT","RackcheckBespoke","DeleteInsert",["delete_5"],false,0.00,0.00,0.00,0.0005
"Racket","RBT","RackcheckBespoke","DeleteInsert",["miscolor_insert"],false,0.00,0.00,0.00,0.0002
"Racket","RBT","RackcheckBespoke","DeleteInsert",["no_balance_insert_1"],false,0.00,0.00,0.00,0.0903
"Racket","RBT","RackcheckBespoke","DeleteInsert",["no_balance_insert_2"],false,0.00,0.00,0.00,0.1914
"Racket","RBT","RackcheckBespoke","InsertInsert",["insert_1"],false,0.00,0.00,0.00,0.0001
"Racket","RBT","RackcheckBespoke","InsertInsert",["insert_2"],false,0.00,0.00,0.00,0.0001
"Racket","RBT","RackcheckBespoke","InsertInsert",["insert_3"],false,0.00,0.00,0.00,0.0002
"Racket","RBT","RackcheckBespoke","DeleteDelete",["delete_4"],false,0.00,0.00,0.00,0.0015
"Racket","RBT","RackcheckBespoke","DeleteDelete",["delete_5"],false,0.00,0.00,0.00,0.0006
"Racket","RBT","RackcheckBespoke","DeleteDelete",["miscolor_balLeft"],false,0.00,0.00,0.00,0.0100
"Racket","RBT","RackcheckBespoke","DeleteDelete",["miscolor_balRight"],false,0.00,0.00,0.00,0.0307
"Racket","RBT","RackcheckBespoke","DeleteDelete",["miscolor_join_2"],false,0.00,0.00,0.00,0.0147
"Racket","RBT","RackcheckBespoke","DeleteModel",["delete_4"],false,0.00,0.00,0.00,0.0001
"Racket","RBT","RackcheckBespoke","DeleteModel",["delete_5"],false,0.00,0.00,0.00,0.0003
"Racket","RBT","RackcheckBespoke","DeletePost",["delete_4"],false,0.00,0.00,0.00,0.0002
"Racket","RBT","RackcheckBespoke","DeletePost",["delete_5"],false,0.00,0.00,0.00,0.0008
"Racket","RBT","RackcheckBespoke","InsertDelete",["delete_4"],false,0.00,0.00,0.00,0.0001
"Racket","RBT","RackcheckBespoke","InsertDelete",["insert_2"],false,0.00,0.00,0.00,0.0002
"Racket","RBT","RackcheckBespoke","InsertDelete",["insert_3"],false,0.00,0.00,0.00,0.0004
"Racket","RBT","RackcheckBespoke","InsertDelete",["no_balance_insert_1"],false,0.00,0.00,0.00,0.0949
"Racket","RBT","RackcheckBespoke","InsertDelete",["no_balance_insert_2"],false,0.00,0.00,0.00,0.1474
"Racket","RBT","RackcheckBespoke","InsertValid",["miscolor_insert"],false,0.00,0.00,0.00,0.0002
"Racket","RBT","RackcheckBespoke","InsertValid",["no_balance_insert_1"],false,0.00,0.00,0.00,0.0007
"Racket","RBT","RackcheckBespoke","InsertValid",["no_balance_insert_2"],false,0.00,0.00,0.00,0.0009
"Racket","RBT","RackcheckBespoke","DeleteValid",["miscolor_delete"],false,0.00,0.00,0.00,0.0004
"Racket","RBT","RackcheckBespoke","DeleteValid",["miscolor_balLeft"],false,0.00,0.00,0.00,0.0094
"Racket","RBT","RackcheckBespoke","DeleteValid",["miscolor_balRight"],false,0.00,0.00,0.00,0.0081
"Racket","RBT","RackcheckBespoke","DeleteValid",["miscolor_join_1"],false,0.00,0.00,0.00,1.1744
"Racket","RBT","RackcheckBespoke","DeleteValid",["miscolor_join_2"],false,0.00,0.00,0.00,0.0067
