language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Rust","RBT","quickcheck","InsertPost",["insert_1"],false,4.60,0.00,0.00,0.0001
"Rust","RBT","quickcheck","InsertPost",["insert_2"],false,9.20,0.00,0.00,0.0001
"Rust","RBT","quickcheck","InsertPost",["insert_3"],false,12.90,0.00,0.00,0.0001
"Rust","RBT","quickcheck","InsertModel",["insert_1"],false,1.60,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertModel",["insert_2"],false,2.70,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertModel",["insert_3"],false,2.20,0.00,0.00,0.0001
"Rust","RBT","quickcheck","InsertInsert",["insert_1"],false,2.10,0.00,0.00,0.0001
"Rust","RBT","quickcheck","InsertInsert",["insert_2"],false,3.30,0.00,0.00,0.0002
"Rust","RBT","quickcheck","InsertInsert",["insert_3"],false,7.50,0.00,0.00,0.0004
"Rust","RBT","quickcheck","DeleteInsert",["insert_1"],false,3.40,0.00,0.00,0.0001
"Rust","RBT","quickcheck","DeleteInsert",["insert_2"],false,5.90,0.00,0.00,0.0001
"Rust","RBT","quickcheck","DeleteInsert",["delete_4"],false,2.80,0.00,0.00,0.0001
"Rust","RBT","quickcheck","DeleteInsert",["delete_5"],false,4.90,0.00,0.00,0.0001
"Rust","RBT","quickcheck","DeleteInsert",["miscolor_insert"],false,5.70,0.00,0.00,0.0001
"Rust","RBT","quickcheck","DeleteInsert",["no_balance_insert_1"],false,5152.50,0.00,0.00,0.0657
"Rust","RBT","quickcheck","DeleteInsert",["no_balance_insert_2"],false,13.00,0.00,0.00,0.0002
"Rust","RBT","quickcheck","InsertDelete",["insert_2"],false,0.10,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertDelete",["insert_3"],false,0.10,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertDelete",["delete_4"],false,0.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertDelete",["no_balance_insert_1"],false,0.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","InsertDelete",["no_balance_insert_2"],false,0.00,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeleteModel",["delete_4"],false,1.70,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeleteModel",["delete_5"],false,7.00,0.00,0.00,0.0001
"Rust","RBT","quickcheck","DeletePost",["delete_4"],false,3.70,0.00,0.00,0.0001
"Rust","RBT","quickcheck","DeletePost",["delete_5"],false,45.20,0.00,0.00,0.0004
"Rust","RBT","quickcheck","DeleteDelete",["delete_4"],false,42.00,0.00,0.00,0.0003
"Rust","RBT","quickcheck","DeleteDelete",["delete_5"],false,75.70,0.00,0.00,0.0007
"Rust","RBT","quickcheck","DeleteDelete",["miscolor_balLeft"],false,6966.80,0.00,0.00,0.0918
"Rust","RBT","quickcheck","DeleteDelete",["miscolor_balRight"],false,13930.90,0.00,0.00,0.1859
"Rust","RBT","quickcheck","DeleteDelete",["miscolor_join_2"],false,880.50,0.00,0.00,0.0085
"Rust","RBT","quickcheck","InsertValid",["miscolor_insert"],false,1.80,0.00,0.00,0.0001
"Rust","RBT","quickcheck","InsertValid",["no_balance_insert_1"],false,12.90,0.00,0.00,0.0001
"Rust","RBT","quickcheck","InsertValid",["no_balance_insert_2"],false,2.70,0.00,0.00,0.0000
"Rust","RBT","quickcheck","DeleteValid",["miscolor_delete"],false,4.60,0.00,0.00,0.0001
"Rust","RBT","quickcheck","DeleteValid",["miscolor_balLeft"],false,239.20,0.00,0.00,0.0014
"Rust","RBT","quickcheck","DeleteValid",["miscolor_balRight"],false,312.50,0.00,0.00,0.0021
"Rust","RBT","quickcheck","DeleteValid",["miscolor_join_1"],false,16466.00,0.00,0.00,0.1303
"Rust","RBT","quickcheck","DeleteValid",["miscolor_join_2"],false,107.70,0.00,0.00,0.0006
