language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Haskell","RBT","Correct","InsertPost",["insert_1"],false,5.30,0.00,0.00,0.0015
"Haskell","RBT","Correct","InsertPost",["insert_2"],false,49.30,0.00,0.00,0.0025
"Haskell","RBT","Correct","InsertPost",["insert_3"],false,326.30,0.00,0.00,0.0060
"Haskell","RBT","Correct","InsertModel",["insert_1"],false,1.90,0.00,0.00,0.0013
"Haskell","RBT","Correct","InsertModel",["insert_2"],false,2.90,0.00,0.00,0.0013
"Haskell","RBT","Correct","InsertModel",["insert_3"],false,8.30,0.00,0.00,0.0014
"Haskell","RBT","Correct","DeleteInsert",["insert_1"],false,20.10,0.00,0.00,0.0015
"Haskell","RBT","Correct","DeleteInsert",["delete_4"],false,2.00,0.00,0.00,0.0012
"Haskell","RBT","Correct","DeleteInsert",["insert_2"],false,8.20,0.00,0.00,0.0012
"Haskell","RBT","Correct","DeleteInsert",["delete_5"],false,30.30,0.00,0.00,0.0017
"Haskell","RBT","Correct","DeleteInsert",["miscolor_insert"],false,40.60,0.00,0.00,0.0020
"Haskell","RBT","Correct","DeleteInsert",["no_balance_insert_1"],false,12184.90,0.00,0.00,0.1893
"Haskell","RBT","Correct","DeleteInsert",["no_balance_insert_2"],false,125.70,0.00,0.00,0.0034
"Haskell","RBT","Correct","InsertInsert",["insert_1"],false,1.60,0.00,0.00,0.0012
"Haskell","RBT","Correct","InsertInsert",["insert_2"],false,1.60,0.00,0.00,0.0013
"Haskell","RBT","Correct","InsertInsert",["insert_3"],false,32.80,0.00,0.00,0.0019
"Haskell","RBT","Correct","DeleteDelete",["delete_4"],false,112.00,0.00,0.00,0.0031
"Haskell","RBT","Correct","DeleteDelete",["delete_5"],false,346.50,0.00,0.00,0.0071
"Haskell","RBT","Correct","DeleteDelete",["miscolor_balLeft"],false,20661.50,0.00,0.00,0.3112
"Haskell","RBT","Correct","DeleteDelete",["miscolor_balRight"],false,11720.40,0.00,0.00,0.1806
"Haskell","RBT","Correct","DeleteDelete",["miscolor_join_2"],false,2444.30,0.00,0.00,0.0408
"Haskell","RBT","Correct","DeleteModel",["delete_4"],false,1.50,0.00,0.00,0.0012
"Haskell","RBT","Correct","DeleteModel",["delete_5"],false,10.30,0.00,0.00,0.0016
"Haskell","RBT","Correct","DeletePost",["delete_4"],false,7.70,0.00,0.00,0.0013
"Haskell","RBT","Correct","DeletePost",["delete_5"],false,434.00,0.00,0.00,0.0064
"Haskell","RBT","Correct","InsertDelete",["delete_4"],false,1.20,0.00,0.00,0.0012
"Haskell","RBT","Correct","InsertDelete",["insert_2"],false,42.80,0.00,0.00,0.0047
"Haskell","RBT","Correct","InsertDelete",["insert_3"],false,329.70,0.00,0.00,0.0068
"Haskell","RBT","Correct","InsertDelete",["no_balance_insert_1"],false,5923.70,0.00,0.00,0.0936
"Haskell","RBT","Correct","InsertDelete",["no_balance_insert_2"],false,72.20,0.00,0.00,0.0025
"Haskell","RBT","Correct","InsertValid",["miscolor_insert"],false,3.10,0.00,0.00,0.0017
"Haskell","RBT","Correct","InsertValid",["no_balance_insert_1"],false,10.30,0.00,0.00,0.0016
"Haskell","RBT","Correct","InsertValid",["no_balance_insert_2"],false,4.00,0.00,0.00,0.0016
"Haskell","RBT","Correct","DeleteValid",["miscolor_delete"],false,2.00,0.00,0.00,0.0015
"Haskell","RBT","Correct","DeleteValid",["miscolor_balLeft"],false,303.80,0.00,0.00,0.0067
"Haskell","RBT","Correct","DeleteValid",["miscolor_balRight"],false,384.70,0.00,0.00,0.0073
"Haskell","RBT","Correct","DeleteValid",["miscolor_join_1"],false,476.20,0.00,0.00,0.0091
"Haskell","RBT","Correct","DeleteValid",["miscolor_join_2"],false,41.30,0.00,0.00,0.0019
"Rocq","RBT","BespokeGenerator","InsertPost",["insert_1"],false,6.20,0.00,0.00,0.0002
"Rocq","RBT","BespokeGenerator","InsertPost",["insert_2"],false,39.90,0.00,0.00,0.0008
"Rocq","RBT","BespokeGenerator","InsertPost",["insert_3"],false,328.90,0.00,0.00,0.0050
"Rocq","RBT","BespokeGenerator","InsertModel",["insert_1"],false,1.00,0.00,0.00,0.0001
"Rocq","RBT","BespokeGenerator","InsertModel",["insert_2"],false,1.50,0.00,0.00,0.0001
"Rocq","RBT","BespokeGenerator","InsertModel",["insert_3"],false,6.20,0.00,0.00,0.0002
"Rocq","RBT","BespokeGenerator","DeleteInsert",["insert_1"],false,30.00,0.00,0.00,0.0006
"Rocq","RBT","BespokeGenerator","DeleteInsert",["delete_4"],false,1.10,0.00,0.00,0.0001
"Rocq","RBT","BespokeGenerator","DeleteInsert",["insert_2"],false,38.90,0.00,0.00,0.0009
"Rocq","RBT","BespokeGenerator","DeleteInsert",["delete_5"],false,43.20,0.00,0.00,0.0011
