language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Haskell","STLC","Correct","SinglePreserve",["shift_var_none"],true,1.00,0.00,0.00,0.0064
"Haskell","STLC","Correct","SinglePreserve",["shift_var_all"],true,1.00,0.00,0.00,0.0033
"Haskell","STLC","Correct","SinglePreserve",["shift_var_leq"],true,1.00,0.00,0.00,0.0704
"Haskell","STLC","Correct","SinglePreserve",["shift_abs_no_incr"],true,1.00,0.00,0.00,0.0017
"Haskell","STLC","Correct","SinglePreserve",["subst_var_all"],true,1.00,0.00,0.00,0.0012
"Haskell","STLC","Correct","SinglePreserve",["subst_var_none"],true,1.00,0.00,0.00,0.0005
"Haskell","STLC","Correct","SinglePreserve",["subst_abs_no_shift"],true,1.00,0.00,0.00,0.0827
"Haskell","STLC","Correct","SinglePreserve",["subst_abs_no_incr"],true,1.00,0.00,0.00,0.0018
"Haskell","STLC","Correct","SinglePreserve",["substTop_no_shift"],true,1.00,0.00,0.00,0.0009
"Haskell","STLC","Correct","SinglePreserve",["substTop_no_shift_back"],true,1.00,0.00,0.00,0.0014
"Haskell","STLC","Correct","MultiPreserve",["shift_var_none"],true,1.00,0.00,0.00,0.0066
"Haskell","STLC","Correct","MultiPreserve",["shift_var_all"],true,1.00,0.00,0.00,0.0026
"Haskell","STLC","Correct","MultiPreserve",["shift_var_leq"],true,1.00,0.00,0.00,0.1123
"Haskell","STLC","Correct","MultiPreserve",["shift_abs_no_incr"],true,1.00,0.00,0.00,0.0019
"Haskell","STLC","Correct","MultiPreserve",["subst_var_all"],true,1.00,0.00,0.00,0.0014
"Haskell","STLC","Correct","MultiPreserve",["subst_var_none"],true,1.00,0.00,0.00,0.0007
"Haskell","STLC","Correct","MultiPreserve",["subst_abs_no_shift"],true,1.00,0.00,0.00,0.0788
"Haskell","STLC","Correct","MultiPreserve",["subst_abs_no_incr"],true,1.00,0.00,0.00,0.0025
"Haskell","STLC","Correct","MultiPreserve",["substTop_no_shift"],true,1.00,0.00,0.00,0.0013
"Haskell","STLC","Correct","MultiPreserve",["substTop_no_shift_back"],true,1.00,0.00,0.00,0.0018
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_var_none"],true,1.00,0.00,0.00,0.0008
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_var_all"],true,1.00,0.00,0.00,0.0005
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_var_leq"],true,1.00,0.00,0.00,0.0546
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_abs_no_incr"],true,1.00,0.00,0.00,0.0009
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_var_all"],true,1.00,0.00,0.00,0.0004
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_var_none"],true,1.00,0.00,0.00,0.0003
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_abs_no_shift"],true,1.00,0.00,0.00,0.0373
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_abs_no_incr"],true,1.00,0.00,0.00,0.0004
"Rocq","STLC","BespokeGenerator","SinglePreserve",["substTop_no_shift"],true,1.00,0.00,0.00,0.0009
"Rocq","STLC","BespokeGenerator","SinglePreserve",["substTop_no_shift_back"],true,1.00,0.00,0.00,0.0007
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_var_none"],true,1.00,0.00,0.00,0.0008
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_var_all"],true,1.00,0.00,0.00,0.0008
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_var_leq"],true,1.00,0.00,0.00,0.1061
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_abs_no_incr"],true,1.00,0.00,0.00,0.0010
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_var_all"],true,1.00,0.00,0.00,0.0004
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_var_none"],true,1.00,0.00,0.00,0.0004
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_abs_no_shift"],true,1.00,0.00,0.00,0.0730
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_abs_no_incr"],true,1.00,0.00,0.00,0.0007
"Rocq","STLC","BespokeGenerator","MultiPreserve",["substTop_no_shift"],true,1.00,0.00,0.00,0.0007
"Rocq","STLC","BespokeGenerator","MultiPreserve",["substTop_no_shift_back"],true,1.00,0.00,0.00,0.0011
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],true,1.00,0.00,0.00,0.0926
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],true,1.00,0.00,0.00,0.0609
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],true,54.60,0.00,0.00,2.0638
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],true,1.00,0.00,0.00,0.0785
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],true,1.00,0.00,0.00,0.0652
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],true,1.00,0.00,0.00,0.0104
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],true,0.60,0.00,0.00,2.1791
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],true,1.00,0.00,0.00,0.1144
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],true,1.00,0.00,0.00,0.0605
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],true,1.00,0.00,0.00,0.0409
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],true,1.00,0.00,0.00,0.0597
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],true,1.00,0.00,0.00,0.1059
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],true,15.10,0.00,0.00,2.5919
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],true,1.00,0.00,0.00,0.1307
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],true,1.00,0.00,0.00,0.0722
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],true,1.00,0.00,0.00,0.0478
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],true,6.50,0.00,0.00,2.4976
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],true,1.00,0.00,0.00,0.1668
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],true,1.00,0.00,0.00,0.1091
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],true,1.00,0.00,0.00,0.0882
"Racket","STLC","RackcheckBespoke","SinglePreserve",["shift_var_none"],true,1.00,0.00,0.00,0.0028
"Racket","STLC","RackcheckBespoke","SinglePreserve",["shift_var_all"],true,1.00,0.00,0.00,0.0023
"Racket","STLC","RackcheckBespoke","SinglePreserve",["shift_var_leq"],true,1.00,0.00,0.00,0.0874
"Racket","STLC","RackcheckBespoke","SinglePreserve",["shift_abs_no_incr"],true,1.00,0.00,0.00,0.0030
"Racket","STLC","RackcheckBespoke","SinglePreserve",["subst_var_all"],true,1.00,0.00,0.00,0.0020
"Racket","STLC","RackcheckBespoke","SinglePreserve",["subst_var_none"],true,1.00,0.00,0.00,0.0022
"Racket","STLC","RackcheckBespoke","SinglePreserve",["subst_abs_no_shift"],true,1.00,0.00,0.00,0.0387
