language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Haskell","STLC","Correct","SinglePreserve",["shift_var_none"],true,1.00,0.00,0.00,0.0064
"Haskell","STLC","Correct","SinglePreserve",["shift_var_all"],true,1.00,0.00,0.00,0.0033
"Haskell","STLC","Correct","SinglePreserve",["shift_var_leq"],true,1.00,0.00,0.00,0.0704
"Haskell","STLC","Correct","SinglePreserve",["shift_abs_no_incr"],true,1.00,0.00,0.00,0.0017
"Haskell","STLC","Correct","SinglePreserve",["subst_var_all"],true,1.00,0.00,0.00,0.0012
"Haskell","STLC","Correct","SinglePreserve",["subst_var_none"],true,1.00,0.00,0.00,0.0005
"Haskell","STLC","Correct","SinglePreserve",["subst_abs_no_shift"],true,1.00,0.00,0.00,0.0827
"Haskell","STLC","Correct","SinglePreserve",["subst_abs_no_incr"],true,1.00,0.00,0.00,0.0018
"Haskell","STLC","Correct","SinglePreserve",["substTop_no_shift"],true,1.00,0.00,0.00,0.0009
"Haskell","STLC","Correct","SinglePreserve",["substTop_no_shift_back"],true,1.00,0.00,0.00,0.0014
"Haskell","STLC","Correct","MultiPreserve",["shift_var_none"],true,1.00,0.00,0.00,0.0066
"Haskell","STLC","Correct","MultiPreserve",["shift_var_all"],true,1.00,0.00,0.00,0.0026
"Haskell","STLC","Correct","MultiPreserve",["shift_var_leq"],true,1.00,0.00,0.00,0.1123
"Haskell","STLC","Correct","MultiPreserve",["shift_abs_no_incr"],true,1.00,0.00,0.00,0.0019
"Haskell","STLC","Correct","MultiPreserve",["subst_var_all"],true,1.00,0.00,0.00,0.0014
"Haskell","STLC","Correct","MultiPreserve",["subst_var_none"],true,1.00,0.00,0.00,0.0007
"Haskell","STLC","Correct","MultiPreserve",["subst_abs_no_shift"],true,1.00,0.00,0.00,0.0788
"Haskell","STLC","Correct","MultiPreserve",["subst_abs_no_incr"],true,1.00,0.00,0.00,0.0025
"Haskell","STLC","Correct","MultiPreserve",["substTop_no_shift"],true,1.00,0.00,0.00,0.0013
"Haskell","STLC","Correct","MultiPreserve",["substTop_no_shift_back"],true,1.00,0.00,0.00,0.0018
