language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","RackcheckBespoke","SinglePreserve",["shift_var_none"],true,1.00,0.00,0.00,0.0028
"Racket","STLC","RackcheckBespoke","SinglePreserve",["shift_var_all"],true,1.00,0.00,0.00,0.0023
"Racket","STLC","RackcheckBespoke","SinglePreserve",["shift_var_leq"],true,1.00,0.00,0.00,0.0874
"Racket","STLC","RackcheckBespoke","SinglePreserve",["shift_abs_no_incr"],true,1.00,0.00,0.00,0.0030
"Racket","STLC","RackcheckBespoke","SinglePreserve",["subst_var_all"],true,1.00,0.00,0.00,0.0020
"Racket","STLC","RackcheckBespoke","SinglePreserve",["subst_var_none"],true,1.00,0.00,0.00,0.0022
"Racket","STLC","RackcheckBespoke","SinglePreserve",["subst_abs_no_shift"],true,1.00,0.00,0.00,0.0387
"Racket","STLC","RackcheckBespoke","SinglePreserve",["subst_abs_no_incr"],true,1.00,0.00,0.00,0.0035
"Racket","STLC","RackcheckBespoke","SinglePreserve",["substTop_no_shift"],true,1.00,0.00,0.00,0.0015
"Racket","STLC","RackcheckBespoke","SinglePreserve",["substTop_no_shift_back"],true,1.00,0.00,0.00,0.0014
"Racket","STLC","RackcheckBespoke","MultiPreserve",["shift_var_none"],true,1.00,0.00,0.00,0.0077
"Racket","STLC","RackcheckBespoke","MultiPreserve",["shift_var_all"],true,1.00,0.00,0.00,0.0068
"Racket","STLC","RackcheckBespoke","MultiPreserve",["shift_var_leq"],true,1.00,0.00,0.00,0.1926
"Racket","STLC","RackcheckBespoke","MultiPreserve",["shift_abs_no_incr"],true,1.00,0.00,0.00,0.0080
"Racket","STLC","RackcheckBespoke","MultiPreserve",["subst_var_all"],true,1.00,0.00,0.00,0.0081
"Racket","STLC","RackcheckBespoke","MultiPreserve",["subst_var_none"],true,1.00,0.00,0.00,0.0031
"Racket","STLC","RackcheckBespoke","MultiPreserve",["subst_abs_no_shift"],true,1.00,0.00,0.00,0.1183
"Racket","STLC","RackcheckBespoke","MultiPreserve",["subst_abs_no_incr"],true,1.00,0.00,0.00,0.0081
"Racket","STLC","RackcheckBespoke","MultiPreserve",["substTop_no_shift"],true,1.00,0.00,0.00,0.0041
"Racket","STLC","RackcheckBespoke","MultiPreserve",["substTop_no_shift_back"],true,1.00,0.00,0.00,0.0082
