language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_var_none"],true,1.00,0.00,0.00,0.0008
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_var_all"],true,1.00,0.00,0.00,0.0005
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_var_leq"],true,1.00,0.00,0.00,0.0546
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_abs_no_incr"],true,1.00,0.00,0.00,0.0009
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_var_all"],true,1.00,0.00,0.00,0.0004
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_var_none"],true,1.00,0.00,0.00,0.0003
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_abs_no_shift"],true,1.00,0.00,0.00,0.0373
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_abs_no_incr"],true,1.00,0.00,0.00,0.0004
"Rocq","STLC","BespokeGenerator","SinglePreserve",["substTop_no_shift"],true,1.00,0.00,0.00,0.0009
"Rocq","STLC","BespokeGenerator","SinglePreserve",["substTop_no_shift_back"],true,1.00,0.00,0.00,0.0007
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_var_none"],true,1.00,0.00,0.00,0.0008
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_var_all"],true,1.00,0.00,0.00,0.0008
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_var_leq"],true,1.00,0.00,0.00,0.1061
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_abs_no_incr"],true,1.00,0.00,0.00,0.0010
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_var_all"],true,1.00,0.00,0.00,0.0004
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_var_none"],true,1.00,0.00,0.00,0.0004
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_abs_no_shift"],true,1.00,0.00,0.00,0.0730
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_abs_no_incr"],true,1.00,0.00,0.00,0.0007
"Rocq","STLC","BespokeGenerator","MultiPreserve",["substTop_no_shift"],true,1.00,0.00,0.00,0.0007
"Rocq","STLC","BespokeGenerator","MultiPreserve",["substTop_no_shift_back"],true,1.00,0.00,0.00,0.0011
