language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Haskell","STLC","Correct","SinglePreserve",["shift_var_none"],false,93.00,0.00,0.00,0.0021
"Haskell","STLC","Correct","SinglePreserve",["shift_var_all"],false,91.60,0.00,0.00,0.0022
"Haskell","STLC","Correct","SinglePreserve",["shift_var_leq"],false,87.30,0.00,0.00,0.0020
"Haskell","STLC","Correct","SinglePreserve",["shift_abs_no_incr"],false,74.00,0.00,0.00,0.0025
"Haskell","STLC","Correct","SinglePreserve",["subst_var_all"],false,102.50,0.00,0.00,0.0023
"Haskell","STLC","Correct","SinglePreserve",["subst_var_none"],false,77.20,0.00,0.00,0.0019
"Haskell","STLC","Correct","SinglePreserve",["subst_abs_no_shift"],false,111.90,0.00,0.00,0.0018
"Haskell","STLC","Correct","SinglePreserve",["subst_abs_no_incr"],false,56.10,0.00,0.00,0.0017
"Haskell","STLC","Correct","SinglePreserve",["substTop_no_shift"],false,70.70,0.00,0.00,0.0022
"Haskell","STLC","Correct","SinglePreserve",["substTop_no_shift_back"],false,86.70,0.00,0.00,0.0021
"Haskell","STLC","Correct","MultiPreserve",["shift_var_none"],false,170.90,0.00,0.00,0.0032
"Haskell","STLC","Correct","MultiPreserve",["shift_var_all"],false,155.00,0.00,0.00,0.0020
"Haskell","STLC","Correct","MultiPreserve",["shift_var_leq"],false,226.10,0.00,0.00,0.0025
"Haskell","STLC","Correct","MultiPreserve",["shift_abs_no_incr"],false,157.80,0.00,0.00,0.0024
"Haskell","STLC","Correct","MultiPreserve",["subst_var_all"],false,140.70,0.00,0.00,0.0024
"Haskell","STLC","Correct","MultiPreserve",["subst_var_none"],false,177.10,0.00,0.00,0.0024
"Haskell","STLC","Correct","MultiPreserve",["subst_abs_no_shift"],false,134.60,0.00,0.00,0.0024
"Haskell","STLC","Correct","MultiPreserve",["subst_abs_no_incr"],false,144.30,0.00,0.00,0.0019
"Haskell","STLC","Correct","MultiPreserve",["substTop_no_shift"],false,124.90,0.00,0.00,0.0020
"Haskell","STLC","Correct","MultiPreserve",["substTop_no_shift_back"],false,164.80,0.00,0.00,0.0023
