language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,156.10,0.00,0.00,0.1179
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,137.40,0.00,0.00,0.1305
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,7569.60,0.00,0.00,4.0392
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,79.00,0.00,0.00,0.0943
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,99.40,0.00,0.00,0.1627
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,24.90,0.00,0.00,0.0305
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,6325.10,0.00,0.00,4.0507
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,220.40,0.00,0.00,0.1509
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,120.70,0.00,0.00,0.1217
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,97.10,0.00,0.00,0.1096
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,206.70,0.00,0.00,0.1384
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,297.20,0.00,0.00,0.1902
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,15072.70,0.00,0.00,7.6837
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,135.40,0.00,0.00,0.1278
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,219.40,0.00,0.00,0.1907
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,37.20,0.00,0.00,0.0235
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,10786.30,0.00,0.00,5.7299
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,219.70,0.00,0.00,0.1332
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,224.80,0.00,0.00,0.1495
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,253.60,0.00,0.00,0.1336
