language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","RackcheckBespoke","SinglePreserve",["shift_var_none"],false,0.00,0.00,0.00,0.0146
"Racket","STLC","RackcheckBespoke","SinglePreserve",["shift_var_all"],false,0.00,0.00,0.00,0.0141
"Racket","STLC","RackcheckBespoke","SinglePreserve",["shift_var_leq"],false,0.00,0.00,0.00,0.0611
"Racket","STLC","RackcheckBespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,0.00,0.00,0.0206
"Racket","STLC","RackcheckBespoke","SinglePreserve",["subst_var_all"],false,0.00,0.00,0.00,0.0123
"Racket","STLC","RackcheckBespoke","SinglePreserve",["subst_var_none"],false,0.00,0.00,0.00,0.0093
"Racket","STLC","RackcheckBespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,0.00,0.00,0.0710
"Racket","STLC","RackcheckBespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,0.00,0.00,0.0146
"Racket","STLC","RackcheckBespoke","SinglePreserve",["substTop_no_shift"],false,0.00,0.00,0.00,0.0119
"Racket","STLC","RackcheckBespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,0.00,0.00,0.0114
"Racket","STLC","RackcheckBespoke","MultiPreserve",["shift_var_none"],false,0.00,0.00,0.00,0.0209
"Racket","STLC","RackcheckBespoke","MultiPreserve",["shift_var_all"],false,0.00,0.00,0.00,0.0266
"Racket","STLC","RackcheckBespoke","MultiPreserve",["shift_var_leq"],false,0.00,0.00,0.00,0.4236
"Racket","STLC","RackcheckBespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,0.00,0.00,0.0190
"Racket","STLC","RackcheckBespoke","MultiPreserve",["subst_var_all"],false,0.00,0.00,0.00,0.0161
"Racket","STLC","RackcheckBespoke","MultiPreserve",["subst_var_none"],false,0.00,0.00,0.00,0.0130
"Racket","STLC","RackcheckBespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,0.00,0.00,0.1420
"Racket","STLC","RackcheckBespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,0.00,0.00,0.0249
"Racket","STLC","RackcheckBespoke","MultiPreserve",["substTop_no_shift"],false,0.00,0.00,0.00,0.0143
"Racket","STLC","RackcheckBespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,0.00,0.00,0.0208
