language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_var_none"],false,23.60,0.00,0.00,0.0032
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_var_all"],false,387.70,0.00,0.00,0.0404
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_var_leq"],false,4908.60,0.00,0.00,0.4373
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_abs_no_incr"],false,255.90,0.00,0.00,0.0253
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_var_all"],false,30.90,0.00,0.00,0.0028
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_var_none"],false,6.70,0.00,0.00,0.0005
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_abs_no_shift"],false,4025.20,0.00,0.00,0.3645
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_abs_no_incr"],false,34.70,0.00,0.00,0.0034
"Rocq","STLC","BespokeGenerator","SinglePreserve",["substTop_no_shift"],false,35.20,0.00,0.00,0.0036
"Rocq","STLC","BespokeGenerator","SinglePreserve",["substTop_no_shift_back"],false,26.40,0.00,0.00,0.0025
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_var_none"],false,36.60,0.00,0.00,0.0037
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_var_all"],false,548.50,0.00,0.00,0.0515
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_var_leq"],false,8853.30,0.00,0.00,0.7751
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_abs_no_incr"],false,695.00,0.00,0.00,0.0628
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_var_all"],false,38.10,0.00,0.00,0.0032
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_var_none"],false,13.30,0.00,0.00,0.0010
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_abs_no_shift"],false,6152.90,0.00,0.00,0.5463
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_abs_no_incr"],false,52.80,0.00,0.00,0.0045
"Rocq","STLC","BespokeGenerator","MultiPreserve",["substTop_no_shift"],false,68.90,0.00,0.00,0.0065
"Rocq","STLC","BespokeGenerator","MultiPreserve",["substTop_no_shift_back"],false,34.60,0.00,0.00,0.0035
