language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Rust","STLC","quickcheck","SinglePreserve",["shift_var_none"],false,421.00,0.00,0.00,0.0173
"Rust","STLC","quickcheck","SinglePreserve",["shift_var_all"],false,218.90,0.00,0.00,0.0073
"Rust","STLC","quickcheck","SinglePreserve",["shift_var_leq"],false,114486.20,0.00,0.00,12.9791
"Rust","STLC","quickcheck","SinglePreserve",["shift_abs_no_incr"],false,296.20,0.00,0.00,0.0100
"Rust","STLC","quickcheck","SinglePreserve",["subst_var_all"],false,109.20,0.00,0.00,0.0028
"Rust","STLC","quickcheck","SinglePreserve",["subst_var_none"],false,126.20,0.00,0.00,0.0033
"Rust","STLC","quickcheck","SinglePreserve",["subst_abs_no_shift"],false,98839.00,0.00,0.00,9.8316
"Rust","STLC","quickcheck","SinglePreserve",["subst_abs_no_incr"],false,176.50,0.00,0.00,0.0046
"Rust","STLC","quickcheck","SinglePreserve",["subst_top_no_shift"],false,330.70,0.00,0.00,0.0111
"Rust","STLC","quickcheck","SinglePreserve",["subst_top_no_shift_back"],false,137.60,0.00,0.00,0.0034
"Rust","STLC","quickcheck","MultiPreserve",["shift_var_none"],false,223.30,0.00,0.00,0.0076
"Rust","STLC","quickcheck","MultiPreserve",["shift_var_all"],false,152.00,0.00,0.00,0.0042
"Rust","STLC","quickcheck","MultiPreserve",["shift_var_leq"],false,NaN,NaN,NaN,NaN
"Rust","STLC","quickcheck","MultiPreserve",["shift_abs_no_incr"],false,199.00,0.00,0.00,0.0058
"Rust","STLC","quickcheck","MultiPreserve",["subst_var_all"],false,120.40,0.00,0.00,0.0038
"Rust","STLC","quickcheck","MultiPreserve",["subst_var_none"],false,348.20,0.00,0.00,0.0132
"Rust","STLC","quickcheck","MultiPreserve",["subst_abs_no_shift"],false,145390.60,0.00,0.00,16.5397
"Rust","STLC","quickcheck","MultiPreserve",["subst_abs_no_incr"],false,413.40,0.00,0.00,0.0174
"Rust","STLC","quickcheck","MultiPreserve",["subst_top_no_shift"],false,220.90,0.00,0.00,0.0079
"Rust","STLC","quickcheck","MultiPreserve",["subst_top_no_shift_back"],false,263.10,0.00,0.00,0.0088
