language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_var_none"],false,23.60,0.00,0.00,0.0032
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_var_all"],false,387.70,0.00,0.00,0.0404
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_var_leq"],false,4908.60,0.00,0.00,0.4373
"Rocq","STLC","BespokeGenerator","SinglePreserve",["shift_abs_no_incr"],false,255.90,0.00,0.00,0.0253
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_var_all"],false,30.90,0.00,0.00,0.0028
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_var_none"],false,6.70,0.00,0.00,0.0005
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_abs_no_shift"],false,4025.20,0.00,0.00,0.3645
"Rocq","STLC","BespokeGenerator","SinglePreserve",["subst_abs_no_incr"],false,34.70,0.00,0.00,0.0034
"Rocq","STLC","BespokeGenerator","SinglePreserve",["substTop_no_shift"],false,35.20,0.00,0.00,0.0036
"Rocq","STLC","BespokeGenerator","SinglePreserve",["substTop_no_shift_back"],false,26.40,0.00,0.00,0.0025
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_var_none"],false,36.60,0.00,0.00,0.0037
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_var_all"],false,548.50,0.00,0.00,0.0515
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_var_leq"],false,8853.30,0.00,0.00,0.7751
"Rocq","STLC","BespokeGenerator","MultiPreserve",["shift_abs_no_incr"],false,695.00,0.00,0.00,0.0628
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_var_all"],false,38.10,0.00,0.00,0.0032
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_var_none"],false,13.30,0.00,0.00,0.0010
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_abs_no_shift"],false,6152.90,0.00,0.00,0.5463
"Rocq","STLC","BespokeGenerator","MultiPreserve",["subst_abs_no_incr"],false,52.80,0.00,0.00,0.0045
"Rocq","STLC","BespokeGenerator","MultiPreserve",["substTop_no_shift"],false,68.90,0.00,0.00,0.0065
"Rocq","STLC","BespokeGenerator","MultiPreserve",["substTop_no_shift_back"],false,34.60,0.00,0.00,0.0035
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,156.10,0.00,0.00,0.1179
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,137.40,0.00,0.00,0.1305
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,7569.60,0.00,0.00,4.0392
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,79.00,0.00,0.00,0.0943
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,99.40,0.00,0.00,0.1627
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,24.90,0.00,0.00,0.0305
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,6325.10,0.00,0.00,4.0507
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,220.40,0.00,0.00,0.1509
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,120.70,0.00,0.00,0.1217
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,97.10,0.00,0.00,0.1096
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,206.70,0.00,0.00,0.1384
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,297.20,0.00,0.00,0.1902
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,15072.70,0.00,0.00,7.6837
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,135.40,0.00,0.00,0.1278
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,219.40,0.00,0.00,0.1907
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,37.20,0.00,0.00,0.0235
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,10786.30,0.00,0.00,5.7299
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,219.70,0.00,0.00,0.1332
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,224.80,0.00,0.00,0.1495
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,253.60,0.00,0.00,0.1336
"Racket","STLC","RackcheckBespoke","SinglePreserve",["shift_var_none"],false,0.00,0.00,0.00,0.0146
